epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,576.324,1.13429,0.90611,1.03775,0.89055,0.71841,0.80672,0.54083,1.15581,0.85818,1.04304,0.0668542,0.000166562,0.000166562
2,1120.24,1.09496,0.78328,1.02616,0.88693,0.76962,0.84183,0.5798,1.1182,0.71303,1.02587,0.0336809,0.000326631,0.000326631
3,1670.84,1.09524,0.77041,1.02336,0.90917,0.80222,0.86997,0.59285,1.10562,0.67782,1.02892,0.000501037,0.000480099,0.000480099
4,2266.68,1.06008,0.71518,1.00879,0.90262,0.8038,0.8766,0.6145,1.06622,0.62754,1.01334,0.0004703,0.0004703,0.0004703
5,2837.46,1.04489,0.69709,1.00173,0.91626,0.82437,0.88909,0.61441,1.05297,0.59799,1.01088,0.0004604,0.0004604,0.0004604
6,3401.24,1.03851,0.67153,0.9942,0.91459,0.8302,0.89279,0.63313,1.0167,0.57096,0.98692,0.0004505,0.0004505,0.0004505
7,3963.53,0.99912,0.62989,0.98813,0.92482,0.84715,0.89922,0.62974,1.02858,0.5567,0.98952,0.0004406,0.0004406,0.0004406
8,4522.63,0.99871,0.62491,0.98103,0.9091,0.85886,0.90188,0.63739,1.00768,0.55523,0.98525,0.0004307,0.0004307,0.0004307
9,5081.44,0.985,0.59774,0.97168,0.92914,0.85485,0.90805,0.65232,0.97907,0.54075,0.97563,0.0004208,0.0004208,0.0004208
10,5711.62,0.97583,0.58412,0.97301,0.92299,0.84583,0.90959,0.65094,0.99245,0.52768,0.97731,0.0004109,0.0004109,0.0004109
11,6395.37,0.96185,0.57242,0.96873,0.92666,0.85759,0.914,0.65931,0.97587,0.50553,0.97388,0.000401,0.000401,0.000401
12,6961.69,0.95632,0.57161,0.96328,0.93189,0.86044,0.91764,0.66017,0.96536,0.50083,0.96167,0.0003911,0.0003911,0.0003911
13,7643.43,0.93857,0.55672,0.96181,0.92105,0.88972,0.92429,0.66956,0.97331,0.48505,0.96641,0.0003812,0.0003812,0.0003812
14,8317.42,0.94456,0.55127,0.95679,0.92688,0.87753,0.92715,0.67113,0.94603,0.48562,0.95636,0.0003713,0.0003713,0.0003713
15,8998.49,0.93449,0.54055,0.95402,0.93337,0.88662,0.92735,0.67953,0.93824,0.47506,0.95238,0.0003614,0.0003614,0.0003614
16,11527,0.92033,0.52938,0.95263,0.94024,0.89525,0.93186,0.68355,0.93209,0.46315,0.95315,0.0003515,0.0003515,0.0003515
17,528.256,0.91456,0.52727,0.95077,0.92791,0.89614,0.9285,0.67948,0.93407,0.46056,0.95539,0.0003416,0.0003416,0.0003416
18,1060,0.90304,0.50439,0.9435,0.94093,0.88217,0.93064,0.68287,0.92594,0.45828,0.94715,0.0003317,0.0003317,0.0003317
19,1625.37,0.90762,0.51135,0.94584,0.9448,0.89272,0.93408,0.68849,0.91024,0.45233,0.94409,0.0003218,0.0003218,0.0003218
20,2259.76,0.88537,0.49601,0.93797,0.93644,0.89209,0.93512,0.69231,0.90219,0.45354,0.93761,0.0003119,0.0003119,0.0003119
21,2892.7,0.88111,0.49438,0.93562,0.93461,0.88608,0.93316,0.68974,0.91312,0.44578,0.94443,0.000302,0.000302,0.000302
22,3525.23,0.88482,0.49336,0.9356,0.9449,0.88639,0.93821,0.69726,0.90106,0.43481,0.93534,0.0002921,0.0002921,0.0002921
23,4156.93,0.86184,0.46653,0.93495,0.9414,0.89241,0.93819,0.69911,0.89382,0.43024,0.93923,0.0002822,0.0002822,0.0002822
24,4791.16,0.8647,0.46934,0.92799,0.93876,0.89751,0.94082,0.70224,0.89201,0.422,0.93666,0.0002723,0.0002723,0.0002723
25,5423.19,0.85614,0.46636,0.92299,0.94709,0.90061,0.9411,0.70726,0.86605,0.41122,0.92584,0.0002624,0.0002624,0.0002624
26,6045.78,0.84456,0.45453,0.92453,0.94018,0.90411,0.94279,0.71022,0.87187,0.41792,0.92625,0.0002525,0.0002525,0.0002525
27,6669.82,0.8373,0.44953,0.92071,0.94632,0.90942,0.94519,0.71206,0.86366,0.4133,0.92065,0.0002426,0.0002426,0.0002426
28,7290.96,0.83444,0.45072,0.91594,0.94236,0.91061,0.9482,0.71601,0.86173,0.40469,0.92398,0.0002327,0.0002327,0.0002327
29,7932.23,0.82189,0.43856,0.91619,0.94725,0.90538,0.9467,0.71391,0.85899,0.40259,0.9221,0.0002228,0.0002228,0.0002228
30,8532.92,0.8268,0.44081,0.91432,0.94517,0.90506,0.94706,0.71782,0.84757,0.40023,0.91759,0.0002129,0.0002129,0.0002129
31,9061.71,0.81499,0.42889,0.9092,0.94972,0.90696,0.95036,0.72328,0.84019,0.39093,0.91435,0.000203,0.000203,0.000203
32,9591.99,0.80464,0.42665,0.90909,0.9505,0.90791,0.94861,0.72254,0.84128,0.39215,0.91142,0.0001931,0.0001931,0.0001931
33,10122,0.82397,0.43684,0.91642,0.94881,0.91076,0.94949,0.72145,0.8383,0.38708,0.91429,0.0001832,0.0001832,0.0001832
