epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,284.164,1.15745,1.01716,1.01734,0.88729,0.76551,0.83923,0.56406,1.11856,0.78832,0.99938,0.0668542,0.000166562,0.000166562
2,617.305,1.09377,0.78181,0.99559,0.90518,0.74316,0.84762,0.58896,1.11381,0.71701,0.9918,0.0336809,0.000326631,0.000326631
3,962.893,1.08827,0.76872,0.99423,0.89916,0.81266,0.87407,0.60647,1.08977,0.64452,0.97347,0.000501037,0.000480099,0.000480099
4,1304.2,1.05227,0.70671,0.9772,0.88913,0.82563,0.88236,0.61982,1.03942,0.613,0.96181,0.0004703,0.0004703,0.0004703
5,1640.84,1.03951,0.68818,0.97171,0.91089,0.83829,0.89331,0.61908,1.04457,0.61495,0.9689,0.0004604,0.0004604,0.0004604
6,1959.43,1.03506,0.66181,0.96557,0.9206,0.84146,0.90202,0.64322,1.01003,0.56909,0.95845,0.0004505,0.0004505,0.0004505
7,2295.03,1.0036,0.6219,0.96153,0.9199,0.84209,0.90303,0.63706,1.02872,0.55849,0.96302,0.0004406,0.0004406,0.0004406
8,2629.87,1.00017,0.61929,0.95297,0.9134,0.84557,0.9047,0.64194,1.00607,0.56048,0.95067,0.0004307,0.0004307,0.0004307
9,2961.25,0.9964,0.61002,0.94929,0.92464,0.85348,0.91146,0.65093,0.98059,0.5431,0.94459,0.0004208,0.0004208,0.0004208
10,3299.7,0.97786,0.58515,0.95001,0.92867,0.85538,0.91172,0.65505,0.9824,0.52286,0.93951,0.0004109,0.0004109,0.0004109
11,3629.82,0.96719,0.5746,0.94673,0.92921,0.86551,0.91813,0.65978,0.96483,0.50907,0.93787,0.000401,0.000401,0.000401
12,3961.81,0.95999,0.57556,0.94267,0.92829,0.87595,0.92367,0.66324,0.96893,0.49403,0.93932,0.0003911,0.0003911,0.0003911
13,4292.1,0.95385,0.565,0.94181,0.93592,0.8769,0.92472,0.66838,0.96773,0.49781,0.93286,0.0003812,0.0003812,0.0003812
14,4620.3,0.95197,0.55681,0.93651,0.93606,0.8663,0.92716,0.6734,0.94708,0.49898,0.93226,0.0003713,0.0003713,0.0003713
15,4949.25,0.94368,0.54291,0.93363,0.92892,0.87911,0.92692,0.67786,0.93274,0.4831,0.92134,0.0003614,0.0003614,0.0003614
16,5282.77,0.92988,0.53951,0.93148,0.93094,0.89304,0.93005,0.67903,0.93501,0.48266,0.92545,0.0003515,0.0003515,0.0003515
17,5614.7,0.9285,0.53307,0.93128,0.93187,0.88727,0.92839,0.67609,0.94495,0.47459,0.93066,0.0003416,0.0003416,0.0003416
18,5940.76,0.9263,0.52843,0.92831,0.93368,0.89399,0.93563,0.68493,0.91662,0.4621,0.91876,0.0003317,0.0003317,0.0003317
19,6267.68,0.90901,0.51694,0.92849,0.93771,0.8962,0.9359,0.69167,0.92041,0.45614,0.92462,0.0003218,0.0003218,0.0003218
20,6597.81,0.91079,0.51515,0.9256,0.94022,0.9,0.93781,0.69115,0.91551,0.4532,0.92069,0.0003119,0.0003119,0.0003119
21,6930.82,0.90124,0.50372,0.9178,0.94185,0.90411,0.93871,0.6953,0.91043,0.44132,0.92072,0.000302,0.000302,0.000302
22,7262.04,0.90022,0.49792,0.91654,0.94407,0.89743,0.93753,0.6953,0.90775,0.44439,0.9169,0.0002921,0.0002921,0.0002921
23,7593.27,0.88809,0.49935,0.91656,0.93835,0.90601,0.93931,0.69994,0.89334,0.43522,0.91367,0.0002822,0.0002822,0.0002822
24,7920.48,0.88554,0.48617,0.91202,0.94973,0.90633,0.94409,0.70302,0.88412,0.42743,0.90877,0.0002723,0.0002723,0.0002723
25,8252.84,0.88553,0.48531,0.91381,0.94526,0.90253,0.94314,0.70308,0.89184,0.43084,0.91217,0.0002624,0.0002624,0.0002624
26,8582.18,0.88128,0.48136,0.91041,0.94296,0.90538,0.93911,0.7061,0.87686,0.42181,0.90557,0.0002525,0.0002525,0.0002525
27,8912.22,0.86911,0.46982,0.90746,0.94564,0.90665,0.94492,0.70873,0.87605,0.42055,0.90741,0.0002426,0.0002426,0.0002426
28,9243.46,0.87146,0.46568,0.9122,0.93772,0.91456,0.94587,0.70785,0.871,0.41454,0.90376,0.0002327,0.0002327,0.0002327
29,9575.46,0.85894,0.45812,0.90426,0.94508,0.91582,0.94546,0.7075,0.86942,0.41238,0.90079,0.0002228,0.0002228,0.0002228
30,9904.69,0.85219,0.45368,0.90051,0.94821,0.9096,0.94969,0.71763,0.85242,0.40584,0.89715,0.0002129,0.0002129,0.0002129
